company,invest_date,entry_round,cost_usd,gp_current_mark_usd,gp_multiple,status
BusRight,2021-01-15,Seed,5800,46400,8.00,Active
Hone Health,2021-02-08,Seed,6200,68200,11.00,Active
Eight Sleep,2021-02-22,Series C,9400,103400,11.00,Active
Atlys,2021-03-04,Pre-Seed,4500,49500,11.00,Active
CowryWise,2021-03-11,Seed,5100,17850,3.50,Active
Fion Technologies,2021-03-18,Seed,4200,2100,0.50,Walking dead
Yac,2021-03-22,Seed,4800,0,0.00,Closed
Journey,2021-01-28,Pre-Seed,4400,2200,0.50,Walking dead
Fifty Foods,2021-02-15,Seed,5600,28000,5.00,Active (rebranded to Immi)
Valiu,2021-03-08,Seed,4900,0,0.00,Closed
Facet,2021-02-04,Series B,8200,32800,4.00,Active
On Deck,2021-01-22,Series A,7800,15600,2.00,Walking dead
Peachy Patients,2021-03-15,Pre-Seed,4100,2050,0.50,Walking dead
Farmstead,2021-01-19,Series A,6800,0,0.00,Closed
Haus,2021-02-26,Seed,5400,21600,4.00,Active
MarketerHire,2021-03-02,Seed,5700,0,0.00,Closed
